1785732860806,tcp,176.282809
1785732860925,status,293.094536
1785732861636,tcp,5.629516
1785732861650,status,19.147809
1785732862636,tcp,5.692602
1785732862651,status,19.50403
1785732863637,tcp,5.68578
1785732863650,status,18.365169
1785732864638,tcp,6.011978
1785732864652,status,19.743568
1785732865639,tcp,5.595566
1785732865651,status,17.786257
1785732866640,tcp,5.559722
1785732866653,status,18.408554
1785732867641,tcp,5.507879
1785732867657,status,20.985418
1785732868644,tcp,5.910107
1785732868657,status,18.387713
1785732869645,tcp,5.758027
1785732869658,status,18.171633
1785732870645,tcp,5.528117
1785732870658,status,18.146478
1785732871646,tcp,5.469199
1785732871658,status,17.171151
1785732872647,tcp,5.495406
1785732872659,status,17.120068
1785732873649,tcp,5.471208
1785732873663,status,19.25195
1785732874650,tcp,5.676105
1785732874664,status,18.897475
1785732875652,tcp,5.573264
1785732875664,status,18.07645
1785732876654,tcp,5.883733
1785732876668,status,19.785998
1785732877655,tcp,5.774443
1785732877669,status,19.262953
1785732878655,tcp,5.508363
1785732878668,status,17.698107
1785732879657,tcp,5.435495
1785732879669,status,17.112863
1785732880657,tcp,5.549398
1785732880670,status,17.985855
1785732881658,tcp,5.499397
1785732881672,status,19.112465
1785732882659,tcp,5.375579
1785732882671,status,17.319047
1785732883661,tcp,5.554112
1785732883676,status,20.563908
1785732884662,tcp,5.416309
1785732884674,status,17.076771
1785732885662,tcp,5.413487
1785732885674,status,17.085637
1785732886663,tcp,5.460977
1785732886677,status,18.476016
1785732887664,tcp,5.386234
1785732887676,status,17.154078
1785732888665,tcp,5.338623
1785732888678,status,17.27616
1785732889666,tcp,5.470978
1785732889678,status,17.161509
1785732890668,tcp,5.47586
1785732890682,status,18.515473
1785732891669,tcp,5.3986
1785732891682,status,17.376895
1785732892671,tcp,5.537459
1785732892683,status,17.457153
1785732893671,tcp,5.574555
1785732893685,status,18.503434
1785732894672,tcp,5.338867
1785732894684,status,17.065926
1785732895673,tcp,5.536249
1785732895689,status,20.687441
1785732896675,tcp,5.394774
1785732896687,status,17.298797
1785732897675,tcp,5.44558
1785732897689,status,18.773587
1785732898676,tcp,5.410395
1785732898688,status,17.002959
1785732899676,tcp,5.387245
1785732899688,status,17.459507
1785732900677,tcp,5.514584
1785732900692,status,19.891248
1785732901679,tcp,5.446624
1785732901692,status,18.589908
1785732902679,tcp,5.445661
1785732902692,status,17.984984
1785732903681,tcp,5.354241
1785732903693,status,16.88877
1785732904682,tcp,5.579717
1785732904694,status,17.525524
1785732905683,tcp,5.456895
1785732905698,status,20.136783
1785732906684,tcp,5.419053
1785732906698,status,19.928612
1785732907684,tcp,5.42605
1785732907697,status,17.831028
1785732908686,tcp,5.422273
1785732908701,status,20.724716
1785732909687,tcp,5.502875
1785732909701,status,18.62193
1785732910688,tcp,5.490699
1785732910702,status,18.394203
1785732911689,tcp,5.549663
1785732911703,status,18.642737
1785732912691,tcp,5.407233
1785732912702,status,16.892798
1785732913691,tcp,5.59161
1785732913705,status,19.062763
1785732914692,tcp,5.30382
1785732914704,status,17.034987
1785732915693,tcp,5.49046
1785732915706,status,17.780327
1785732916695,tcp,5.460202
1785732916707,status,17.056934
1785732917695,tcp,5.483253
1785732917711,status,21.249025
1785732918697,tcp,5.426401
1785732918709,status,16.895413
1785732919698,tcp,5.669075
1785732919713,status,19.388991
1785732920699,tcp,5.445613
1785732920711,status,17.406288
1785732921700,tcp,5.426524
1785732921731,status,36.184914
1785732922701,tcp,5.528728
1785732922714,status,17.517085
1785732923702,tcp,5.61571
1785732923716,status,19.141195
1785732924703,tcp,5.461282
1785732924726,status,28.230323
1785732925704,tcp,5.394186
1785732925716,status,17.334326
1785732926705,tcp,5.381943
1785732926717,status,17.187837
1785732927707,tcp,5.442647
1785732927732,status,30.543245
1785732928707,tcp,5.316825
1785732928719,status,16.782918
1785732929709,tcp,5.34324
1785732929722,status,18.448388
1785732930710,tcp,5.418929
1785732930721,status,16.810597
1785732931710,tcp,5.335113
1785732931723,status,17.923912
1785732932711,tcp,5.338724
1785732932723,status,16.951227
1785732933713,tcp,5.374843
