epoch_ms,players,cpu_percent,mem_usage,mspt_raw,tps_raw
1785733042391,0,31.72,1.155GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.6/0.2/5.3; 0.5/0.2/5.3; 3.4/0.2/45.7","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733048667,0,2.11,1.154GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.4; 0.5/0.2/5.3; 2.7/0.2/45.7","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733054990,0,1.70,1.154GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.9; 0.5/0.3/1.9; 2.1/0.2/45.7","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733061289,0,1.64,1.155GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.6; 0.5/0.3/1.6; 1.6/0.2/45.7","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733067583,5,49.99,1.161GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 40.6/1.5/191.9; 21.6/0.3/191.9; 4.6/0.2/191.9","TPS from last 1m; 5m; 15m: 19.84; 19.97; 19.41"
1785733074458,5,30.73,1.162GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 15.8/5.2/89.5; 35.8/5.2/293.8; 7.6/0.2/293.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733080773,5,17.39,1.165GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.4/5.1/28.3; 11.9/5.0/89.5; 8.6/0.2/293.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733087093,5,16.99,1.165GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 7.9/4.5/37.6; 8.5/4.5/44.3; 9.4/0.2/293.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733093399,5,24.02,1.168GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 10.5/4.7/33.2; 8.8/4.5/33.2; 10.4/0.2/293.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733099701,5,25.05,1.168GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.5/4.4/44.4; 10.9/4.4/87.1; 11.6/0.2/293.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733106195,5,29.12,1.169GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.0/4.3/13.7; 8.2/4.3/44.4; 12.3/0.3/293.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733112490,5,12.32,1.169GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.8/3.5/18.9; 6.0/3.5/18.9; 12.8/0.3/293.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733118754,5,17.01,1.169GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.5/4.7/22.3; 6.2/4.1/22.3; 13.5/0.3/293.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733125045,5,30.44,1.169GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.0/4.4/37.2; 8.0/4.4/37.2; 13.0/3.5/293.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733131343,5,18.55,1.169GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.4/4.4/26.0; 8.7/4.4/37.2; 8.8/3.5/89.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733137644,5,18.75,1.169GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 7.6/4.6/35.0; 7.7/4.4/35.0; 8.2/3.5/87.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733143948,5,15.43,1.169GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 7.5/4.9/42.5; 7.5/4.2/42.5; 8.0/3.5/87.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733150257,5,18.28,1.17GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.2/4.3/23.3; 6.9/4.3/42.5; 7.8/3.5/87.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.42"
1785733156550,5,20.82,1.17GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.8/4.6/32.5; 7.6/4.3/32.5; 7.5/3.5/44.4","TPS from last 1m; 5m; 15m: 20.0; 20.0; 19.82"
