1785733062509,bot0,spawn
1785733062766,bot1,spawn
1785733063274,bot2,spawn
1785733063539,bot0,rtt,28
1785733063844,bot1,rtt,77
1785733064046,bot3,spawn
1785733064350,bot2,rtt,76
1785733064473,bot4,spawn
1785733064564,bot0,rtt,54
1785733064833,bot1,rtt,42
1785733065068,bot3,rtt,21
1785733065284,bot2,rtt,6
1785733065584,bot4,rtt,109
1785733065674,bot0,rtt,164
1785733065833,bot1,rtt,41
1785733066157,bot3,rtt,110
1785733066382,bot2,rtt,104
1785733066535,bot0,rtt,25
1785733066535,bot4,rtt,53
1785733066825,bot1,rtt,32
1785733067077,bot3,rtt,23
1785733067575,bot2,rtt,297
1785733067793,bot0,rtt,283
1785733067832,bot4,rtt,351
1785733067840,bot1,rtt,38
1785733068230,bot3,rtt,176
1785733068468,bot2,rtt,153
1785733068642,bot4,rtt,161
1785733068655,bot0,rtt,144
1785733068844,bot1,rtt,42
1785733069132,bot3,rtt,76
1785733069651,bot2,rtt,336
1785733069768,bot4,rtt,287
1785733069777,bot0,rtt,267
1785733069825,bot1,rtt,23
1785733070275,bot3,rtt,192
1785733070439,bot2,rtt,124
1785733070541,bot0,rtt,30
1785733070548,bot4,rtt,67
1785733070821,bot1,rtt,18
1785733071122,bot3,rtt,38
1785733071324,bot2,rtt,8
1785733071521,bot4,rtt,40
1785733071524,bot0,rtt,13
1785733071809,bot1,rtt,7
1785733072094,bot3,rtt,10
1785733072323,bot2,rtt,7
1785733072488,bot4,rtt,7
1785733072518,bot0,rtt,7
1785733072810,bot1,rtt,7
1785733072871,bot4,respawn
1785733073094,bot3,rtt,10
1785733073325,bot2,rtt,8
1785733073489,bot4,rtt,7
1785733073518,bot0,rtt,6
1785733073809,bot1,rtt,6
1785733074099,bot3,rtt,15
1785733074324,bot2,rtt,7
1785733074504,bot4,rtt,21
1785733074518,bot0,rtt,6
1785733074810,bot1,rtt,7
1785733075095,bot3,rtt,11
1785733075324,bot2,rtt,7
1785733075495,bot4,rtt,12
1785733075520,bot0,rtt,8
1785733075816,bot1,rtt,7
1785733076093,bot3,rtt,9
1785733076323,bot2,rtt,6
1785733076499,bot4,rtt,16
1785733076518,bot0,rtt,6
1785733076815,bot1,rtt,6
1785733077091,bot3,rtt,7
1785733077327,bot2,rtt,10
1785733077500,bot4,rtt,16
1785733077521,bot0,rtt,8
1785733077817,bot1,rtt,8
1785733078095,bot3,rtt,11
1785733078326,bot2,rtt,9
1785733078500,bot4,rtt,16
1785733078520,bot0,rtt,6
1785733078819,bot1,rtt,9
1785733079096,bot3,rtt,12
1785733079324,bot2,rtt,7
1785733079499,bot4,rtt,15
1785733079521,bot0,rtt,7
1785733079817,bot1,rtt,6
1785733080094,bot3,rtt,9
1785733080324,bot2,rtt,6
1785733080494,bot4,rtt,10
1785733080523,bot0,rtt,9
1785733080818,bot1,rtt,7
1785733081096,bot3,rtt,12
1785733081324,bot2,rtt,7
1785733081522,bot0,rtt,7
1785733081524,bot4,rtt,39
1785733081818,bot1,rtt,6
1785733082094,bot3,rtt,9
1785733082324,bot2,rtt,7
1785733082494,bot4,rtt,10
1785733082522,bot0,rtt,6
1785733082833,bot1,rtt,20
1785733083097,bot3,rtt,12
1785733083324,bot2,rtt,6
1785733083494,bot4,rtt,9
1785733083521,bot0,rtt,6
1785733083819,bot1,rtt,6
1785733084095,bot3,rtt,9
1785733084325,bot2,rtt,7
1785733084494,bot4,rtt,10
1785733084522,bot0,rtt,7
1785733084820,bot1,rtt,7
1785733085094,bot3,rtt,9
1785733085325,bot2,rtt,7
1785733085495,bot4,rtt,11
1785733085523,bot0,rtt,7
1785733085820,bot1,rtt,6
1785733086101,bot3,rtt,16
1785733086325,bot2,rtt,7
1785733086495,bot4,rtt,11
1785733086522,bot0,rtt,7
1785733086820,bot1,rtt,7
1785733087095,bot3,rtt,9
1785733087328,bot2,rtt,9
1785733087495,bot4,rtt,10
1785733087521,bot0,rtt,6
1785733087819,bot1,rtt,6
1785733088094,bot3,rtt,8
1785733088327,bot2,rtt,8
1785733088334,bot2,respawn
1785733088493,bot4,rtt,9
1785733088524,bot0,rtt,9
1785733088820,bot1,rtt,7
1785733089096,bot3,rtt,10
1785733089343,bot2,rtt,25
1785733089531,bot4,rtt,47
1785733089538,bot0,rtt,22
1785733089826,bot1,rtt,13
1785733090127,bot3,rtt,42
1785733090344,bot2,rtt,25
1785733090528,bot0,rtt,11
1785733090528,bot4,rtt,44
1785733090821,bot1,rtt,7
1785733091096,bot3,rtt,11
1785733091325,bot2,rtt,6
1785733091495,bot4,rtt,11
1785733091523,bot0,rtt,6
1785733091820,bot1,rtt,6
1785733092093,bot3,rtt,7
1785733092327,bot2,rtt,7
1785733092500,bot4,rtt,16
1785733092523,bot0,rtt,6
1785733092820,bot1,rtt,7
1785733093096,bot3,rtt,11
1785733093327,bot2,rtt,7
1785733093492,bot4,rtt,8
1785733093523,bot0,rtt,6
1785733093831,bot4,respawn
1785733093832,bot1,rtt,19
1785733094094,bot3,rtt,9
1785733094334,bot2,rtt,14
1785733094510,bot4,rtt,26
1785733094524,bot0,rtt,6
1785733094820,bot1,rtt,6
1785733095096,bot3,rtt,11
1785733095327,bot2,rtt,7
1785733095500,bot4,rtt,15
1785733095527,bot0,rtt,9
1785733095821,bot1,rtt,7
1785733096095,bot3,rtt,10
1785733096328,bot2,rtt,7
1785733096494,bot4,rtt,10
1785733096524,bot0,rtt,6
1785733096821,bot1,rtt,7
1785733097096,bot3,rtt,10
1785733097328,bot2,rtt,7
1785733097499,bot4,rtt,15
1785733097525,bot0,rtt,6
1785733097821,bot1,rtt,6
1785733098095,bot3,rtt,9
1785733098328,bot2,rtt,7
1785733098521,bot4,rtt,37
1785733098536,bot0,rtt,17
1785733098821,bot1,rtt,7
1785733099095,bot3,rtt,9
1785733099328,bot2,rtt,7
1785733099502,bot4,rtt,18
1785733099526,bot0,rtt,6
1785733099821,bot1,rtt,7
1785733100121,bot3,rtt,35
1785733100331,bot2,rtt,10
1785733100498,bot4,rtt,14
1785733100526,bot0,rtt,6
1785733100821,bot1,rtt,7
1785733101095,bot3,rtt,9
1785733101328,bot2,rtt,7
1785733101493,bot4,rtt,9
1785733101526,bot0,rtt,6
1785733101820,bot1,rtt,6
1785733102093,bot3,rtt,7
1785733102328,bot2,rtt,7
1785733102494,bot4,rtt,9
1785733102526,bot0,rtt,7
1785733102821,bot1,rtt,7
1785733103093,bot3,rtt,7
1785733103329,bot2,rtt,8
1785733103494,bot4,rtt,9
1785733103526,bot0,rtt,7
1785733103820,bot1,rtt,6
1785733104093,bot3,rtt,6
1785733104329,bot2,rtt,8
1785733104493,bot4,rtt,8
1785733104526,bot0,rtt,6
1785733104821,bot1,rtt,7
1785733105093,bot3,rtt,6
1785733105331,bot2,rtt,10
1785733105494,bot4,rtt,9
1785733105527,bot0,rtt,7
1785733105821,bot1,rtt,7
1785733106127,bot3,rtt,41
1785733106328,bot2,rtt,7
1785733106494,bot4,rtt,9
1785733106527,bot0,rtt,6
1785733106824,bot1,rtt,9
1785733107093,bot3,rtt,7
1785733107328,bot2,rtt,7
1785733107492,bot4,rtt,7
1785733107527,bot0,rtt,6
1785733107822,bot1,rtt,7
1785733108093,bot3,rtt,7
1785733108327,bot2,rtt,6
1785733108494,bot4,rtt,9
1785733108528,bot0,rtt,6
1785733108822,bot1,rtt,6
1785733109095,bot3,rtt,8
1785733109328,bot2,rtt,6
1785733109494,bot4,rtt,9
1785733109528,bot0,rtt,7
1785733109821,bot1,rtt,6
1785733110095,bot3,rtt,9
1785733110328,bot2,rtt,7
1785733110494,bot4,rtt,9
1785733110527,bot0,rtt,6
1785733110821,bot1,rtt,6
1785733111093,bot3,rtt,7
1785733111328,bot2,rtt,7
1785733111495,bot4,rtt,10
1785733111528,bot0,rtt,7
1785733111822,bot1,rtt,7
1785733112094,bot3,rtt,8
1785733112328,bot2,rtt,6
1785733112494,bot4,rtt,8
1785733112528,bot0,rtt,7
1785733112821,bot1,rtt,6
1785733113094,bot3,rtt,8
1785733113329,bot2,rtt,7
1785733113494,bot4,rtt,7
1785733113527,bot0,rtt,6
1785733113821,bot1,rtt,6
1785733114094,bot3,rtt,8
1785733114328,bot2,rtt,6
1785733114499,bot4,rtt,12
1785733114528,bot0,rtt,6
1785733114821,bot1,rtt,6
1785733115094,bot3,rtt,7
1785733115329,bot2,rtt,6
1785733115495,bot4,rtt,7
1785733115529,bot0,rtt,6
1785733115822,bot1,rtt,7
1785733116095,bot3,rtt,7
1785733116331,bot2,rtt,7
1785733116494,bot4,rtt,7
1785733116530,bot0,rtt,6
1785733116822,bot1,rtt,6
1785733117097,bot3,rtt,9
1785733117332,bot2,rtt,7
1785733117496,bot4,rtt,9
1785733117531,bot0,rtt,6
1785733117822,bot1,rtt,7
1785733118095,bot3,rtt,8
1785733118331,bot2,rtt,6
1785733118495,bot4,rtt,7
1785733118531,bot0,rtt,7
1785733118823,bot1,rtt,7
1785733119096,bot3,rtt,9
1785733119332,bot2,rtt,7
1785733119495,bot4,rtt,8
1785733119531,bot0,rtt,6
1785733119823,bot1,rtt,6
1785733120095,bot3,rtt,8
1785733120331,bot2,rtt,6
1785733120496,bot4,rtt,8
1785733120531,bot0,rtt,6
1785733120824,bot1,rtt,6
1785733121125,bot3,rtt,38
1785733121331,bot2,rtt,6
1785733121495,bot4,rtt,8
1785733121532,bot0,rtt,7
1785733121825,bot1,rtt,7
1785733122094,bot3,rtt,6
1785733122331,bot2,rtt,6
1785733122496,bot4,rtt,8
1785733122532,bot0,rtt,6
1785733122824,bot1,rtt,6
1785733123093,bot3,rtt,6
1785733123332,bot2,rtt,7
1785733123495,bot4,rtt,8
1785733123532,bot0,rtt,7
1785733123825,bot1,rtt,7
1785733124127,bot3,rtt,40
1785733124258,bot1,respawn
1785733124332,bot2,rtt,6
1785733124494,bot4,rtt,7
1785733124531,bot0,rtt,6
1785733124825,bot1,rtt,7
1785733125094,bot3,rtt,6
1785733125333,bot2,rtt,6
1785733125495,bot4,rtt,8
1785733125531,bot0,rtt,6
1785733125825,bot1,rtt,7
1785733126102,bot3,rtt,15
1785733126333,bot2,rtt,7
1785733126494,bot4,rtt,6
1785733126531,bot0,rtt,6
1785733126824,bot1,rtt,6
1785733127097,bot3,rtt,9
1785733127332,bot2,rtt,6
1785733127496,bot4,rtt,9
1785733127531,bot0,rtt,6
1785733127825,bot1,rtt,6
1785733128096,bot3,rtt,9
1785733128334,bot2,rtt,8
1785733128496,bot4,rtt,8
1785733128531,bot0,rtt,6
1785733128824,bot1,rtt,6
1785733129096,bot3,rtt,9
1785733129333,bot2,rtt,7
1785733129496,bot4,rtt,9
1785733129533,bot0,rtt,6
1785733129825,bot1,rtt,6
1785733130096,bot3,rtt,9
1785733130333,bot2,rtt,6
1785733130494,bot4,rtt,6
1785733130533,bot0,rtt,6
