epoch_ms,players,cpu_percent,mem_usage,mspt_raw,tps_raw
1785733412670,0,1.95,1.235GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/0.7; 0.6/0.3/1.3; 7.3/0.3/743.8","TPS from last 1m; 5m; 15m: 20.0; 19.83; 19.94"
1785733418964,0,2.05,1.235GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.4; 0.5/0.3/1.4; 6.0/0.3/743.8","TPS from last 1m; 5m; 15m: 20.0; 19.83; 19.94"
1785733425257,0,1.83,1.235GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.4/0.7; 0.5/0.3/3.4; 4.9/0.3/743.8","TPS from last 1m; 5m; 15m: 20.0; 19.83; 19.94"
1785733431538,0,1.84,1.235GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.7/0.4/2.2; 0.6/0.4/2.2; 3.9/0.3/743.8","TPS from last 1m; 5m; 15m: 20.0; 19.83; 19.94"
1785733437822,10,50.17,1.241GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 38.9/0.4/273.3; 19.8/0.4/273.3; 6.3/0.3/743.8","TPS from last 1m; 5m; 15m: 19.72; 19.78; 19.92"
1785733448202,20,50.06,1.254GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 90.2/4.1/502.5; 46.7/0.4/502.5; 10.2/0.3/743.8","TPS from last 1m; 5m; 15m: 17.3; 19.24; 19.74"
1785733455293,20,50.22,1.297GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 107.8/19.9/502.5; 81.8/0.4/502.5; 14.4/0.3/502.5","TPS from last 1m; 5m; 15m: 16.29; 18.97; 19.65"
1785733462471,20,51.05,1.297GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 47.4/9.7/109.7; 68.4/9.7/324.1; 19.7/0.3/502.5","TPS from last 1m; 5m; 15m: 16.19; 18.94; 19.64"
1785733469365,20,36.86,1.306GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 21.1/7.6/103.2; 31.5/7.6/103.2; 22.9/0.3/502.5","TPS from last 1m; 5m; 15m: 16.29; 18.98; 19.65"
1785733476000,20,32.74,1.306GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 15.3/9.2/40.1; 19.2/7.6/103.2; 25.0/0.3/502.5","TPS from last 1m; 5m; 15m: 16.3; 18.98; 19.65"
1785733482300,20,30.97,1.306GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 14.7/8.7/92.2; 15.2/8.7/92.2; 26.5/0.3/502.5","TPS from last 1m; 5m; 15m: 16.3; 18.98; 19.65"
1785733488892,20,50.06,1.311GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 43.6/8.1/124.1; 30.2/8.1/124.1; 30.5/0.3/502.5","TPS from last 1m; 5m; 15m: 16.2; 18.95; 19.64"
1785733495958,20,49.44,1.312GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 43.4/10.1/88.9; 47.3/8.3/130.6; 36.2/0.4/502.5","TPS from last 1m; 5m; 15m: 16.29; 18.98; 19.65"
1785733502970,20,50.16,1.311GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 56.2/13.3/176.6; 49.8/10.1/176.6; 41.7/0.4/502.5","TPS from last 1m; 5m; 15m: 16.11; 18.93; 19.63"
1785733509897,20,45.17,1.312GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 28.6/9.9/80.3; 38.0/9.9/176.6; 43.0/7.6/502.5","TPS from last 1m; 5m; 15m: 16.5; 18.98; 19.65"
1785733516790,20,49.42,1.312GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 34.2/9.6/118.5; 30.9/9.6/118.5; 35.0/7.6/176.6","TPS from last 1m; 5m; 15m: 20.0; 18.97; 19.65"
1785733523396,20,46.83,1.312GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 28.4/11.6/84.7; 31.1/9.6/118.5; 33.2/7.6/176.6","TPS from last 1m; 5m; 15m: 20.0; 18.98; 19.65"
1785733529881,20,34.22,1.312GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 20.6/9.5/93.7; 23.2/9.5/93.7; 32.8/8.1/176.6","TPS from last 1m; 5m; 15m: 20.0; 18.98; 19.65"
1785733536595,20,50.02,1.313GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 36.8/12.1/141.3; 27.9/9.5/141.3; 34.4/8.1/176.6","TPS from last 1m; 5m; 15m: 19.91; 18.96; 19.64"
1785733543867,20,41.23,1.315GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 37.1/9.0/95.1; 42.7/9.0/166.6; 37.4/8.3/176.6","TPS from last 1m; 5m; 15m: 20.0; 18.98; 19.65"
1785733550604,20,38.09,1.315GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 26.3/8.7/90.7; 33.0/8.7/101.6; 35.8/8.7/176.6","TPS from last 1m; 5m; 15m: 20.0; 18.98; 19.65"
1785733556974,20,36.36,1.314GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 18.4/9.1/76.4; 18.3/8.7/76.4; 33.0/8.7/176.6","TPS from last 1m; 5m; 15m: 20.0; 18.98; 19.65"
1785733563316,20,49.92,1.315GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 38.2/10.4/165.2; 30.2/9.3/165.2; 30.9/8.7/166.6","TPS from last 1m; 5m; 15m: 20.0; 18.97; 19.64"
