1785733432751,bot0,spawn
1785733432869,bot1,spawn
1785733433359,bot2,spawn
1785733433771,bot0,rtt,20
1785733433883,bot3,spawn
1785733433923,bot1,rtt,54
1785733434361,bot4,spawn
1785733434377,bot2,rtt,9
1785733434778,bot0,rtt,26
1785733434932,bot1,rtt,50
1785733434934,bot3,rtt,48
1785733434982,bot5,spawn
1785733435547,bot2,rtt,174
1785733435558,bot4,rtt,185
1785733435871,bot0,rtt,119
1785733436053,bot6,spawn
1785733436073,bot1,rtt,183
1785733436088,bot3,rtt,198
1785733436091,bot5,rtt,109
1785733436779,bot2,rtt,405
1785733436789,bot4,rtt,416
1785733436815,bot7,spawn
1785733436896,bot0,rtt,129
1785733437227,bot1,rtt,314
1785733437249,bot3,rtt,336
1785733437261,bot5,rtt,279
1785733437553,bot6,rtt,500
1785733438066,bot1,rtt,153
1785733438094,bot3,rtt,180
1785733438114,bot5,rtt,102
1785733438135,bot7,rtt,319
1785733438338,bot2,rtt,915
1785733438338,bot4,rtt,915
1785733438533,bot9,spawn
1785733438570,bot0,rtt,768
1785733438625,bot6,rtt,558
1785733438788,bot2,rtt,364
1785733438832,bot4,rtt,409
1785733439172,bot8,spawn
1785733439187,bot0,rtt,347
1785733439423,bot6,rtt,347
1785733439509,bot1,rtt,596
1785733439551,bot3,rtt,637
1785733439624,bot5,rtt,612
1785733439710,bot7,rtt,870
1785733439710,bot2,rtt,280
1785733439711,bot4,rtt,281
1785733440484,bot6,rtt,409
1785733440486,bot8,rtt,314
1785733440685,bot0,rtt,846
1785733440701,bot9,rtt,1002
1785733440872,bot2,rtt,427
1785733440910,bot4,rtt,465
1785733440981,bot0,rtt,142
1785733441108,bot5,rtt,1088
1785733441164,bot7,rtt,1274
1785733441230,bot1,rtt,1210
1785733441247,bot3,rtt,1227
1785733441248,bot6,rtt,47
1785733441251,bot8,rtt,50
1785733441275,bot1,rtt,74
1785733441309,bot3,rtt,108
1785733441351,bot5,rtt,150
1785733441392,bot7,rtt,411
1785733441435,bot9,rtt,733
1785733441774,bot2,rtt,321
1785733441882,bot4,rtt,430
1785733442170,bot0,rtt,173
1785733442607,bot6,rtt,405
1785733442655,bot8,rtt,453
1785733442724,bot2,rtt,19
1785733442724,bot4,rtt,19
1785733442928,bot9,rtt,1223
1785733443020,bot0,rtt,16
1785733443072,bot1,rtt,870
1785733443096,bot5,rtt,894
1785733443123,bot7,rtt,1126
1785733443207,bot7,rtt,202
1785733443240,bot9,rtt,533
1785733443240,bot3,rtt,1038
1785733443739,bot6,rtt,498
1785733443810,bot8,rtt,569
1785733444125,bot9,rtt,279
1785733444145,bot2,rtt,299
1785733444146,bot4,rtt,300
1785733444161,bot10,spawn
