1785733245748,bot0,spawn
1785733245954,bot1,spawn
1785733246360,bot2,spawn
1785733246766,bot0,rtt,17
1785733246946,bot3,spawn
1785733247048,bot1,rtt,90
1785733247379,bot2,rtt,10
1785733247656,bot4,spawn
1785733247838,bot0,rtt,88
1785733248095,bot1,rtt,137
1785733248104,bot3,rtt,158
1785733248289,bot5,spawn
1785733248467,bot2,rtt,98
1785733248871,bot4,rtt,212
1785733248882,bot0,rtt,131
1785733249440,bot6,spawn
1785733249517,bot1,rtt,558
1785733249540,bot3,rtt,593
1785733249542,bot5,rtt,253
1785733249588,bot2,rtt,200
1785733249989,bot0,rtt,224
1785733250014,bot4,rtt,295
1785733250174,bot1,rtt,200
1785733250192,bot3,rtt,219
1785733250607,bot5,rtt,318
1785733250607,bot7,spawn
1785733250665,bot2,rtt,276
1785733250711,bot6,rtt,271
1785733250937,bot0,rtt,156
1785733250959,bot4,rtt,178
1785733251029,bot3,rtt,45
1785733251032,bot1,rtt,48
1785733251415,bot8,spawn
1785733251502,bot5,rtt,213
1785733251968,bot9,spawn
1785733252039,bot2,rtt,623
1785733252070,bot6,rtt,557
1785733252175,bot7,rtt,567
1785733252564,bot0,rtt,783
1785733252586,bot4,rtt,806
1785733253261,bot1,rtt,1176
1785733253263,bot3,rtt,1178
1785733253630,bot5,rtt,1304
1785733253944,bot7,rtt,1327
1785733254145,bot2,rtt,1729
1785733254164,bot6,rtt,1650
1785733254173,bot8,rtt,1758
1785733254661,bot1,rtt,1576
1785733254668,bot3,rtt,1584
1785733254694,bot9,rtt,1632
1785733254986,bot5,rtt,1660
1785733255043,bot0,rtt,2239
1785733255073,bot4,rtt,2269
1785733255475,bot7,rtt,1857
1785733256064,bot9,rtt,1978
1785733256065,bot1,rtt,1978
1785733256066,bot3,rtt,1979
1785733256228,bot2,rtt,2795
1785733256246,bot6,rtt,2733
1785733256257,bot8,rtt,2824
1785733256481,bot5,rtt,2155
1785733256770,bot7,rtt,2153
1785733256793,bot0,rtt,2989
1785733256796,bot4,rtt,2993
1785733257523,bot1,rtt,2420
1785733257524,bot3,rtt,2421
1785733257548,bot9,rtt,2445
1785733257750,bot2,rtt,3310
1785733257778,bot5,rtt,2451
1785733257842,bot6,rtt,3329
1785733257842,bot8,rtt,3402
1785733258363,bot7,rtt,2743
1785733258370,bot0,rtt,3566
1785733258379,bot4,rtt,3576
1785733258922,bot2,rtt,3483
1785733258930,bot6,rtt,3417
1785733258939,bot8,rtt,3500
1785733258961,bot1,rtt,2857
1785733258961,bot3,rtt,2857
1785733258978,bot9,rtt,2874
1785733259133,bot0,rtt,3323
1785733259134,bot4,rtt,3324
1785733259162,bot5,rtt,2836
1785733259368,bot7,rtt,2747
1785733259460,bot8,rtt,3020
1785733259466,bot2,rtt,3026
1785733259525,bot6,rtt,3012
1785733259739,bot4,rtt,2928
1785733259829,bot0,rtt,3018
1785733259877,bot1,rtt,2765
1785733259877,bot3,rtt,2765
1785733259900,bot9,rtt,2788
1785733260124,bot5,rtt,2798
1785733260172,bot8,rtt,2731
1785733260174,bot2,rtt,2732
1785733260174,bot6,rtt,2661
1785733260261,bot0,rtt,2432
1785733260262,bot4,rtt,2433
1785733260448,bot2,rtt,2006
1785733260453,bot6,rtt,1940
1785733260464,bot8,rtt,2023
1785733260467,bot0,rtt,1636
1785733260494,bot7,rtt,2872
1785733260520,bot4,rtt,1690
1785733260555,bot2,rtt,1114
1785733260556,bot6,rtt,1043
1785733260557,bot8,rtt,1116
1785733260628,bot0,rtt,798
1785733260628,bot4,rtt,798
1785733260721,bot2,rtt,252
1785733260725,bot6,rtt,212
1785733260725,bot8,rtt,257
1785733260726,bot1,rtt,2613
