epoch_ms,players,cpu_percent,mem_usage,mspt_raw,tps_raw
1785733805879,0,2.17,1.369GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.9; 0.7/0.3/31.3; 18.2/0.3/1073.8","TPS from last 1m; 5m; 15m: 20.0; 18.05; 18.98"
1785733812160,0,1.75,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.3; 0.5/0.3/3.8; 13.4/0.3/1073.8","TPS from last 1m; 5m; 15m: 20.0; 18.05; 18.98"
1785733818446,0,1.81,1.369GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.5; 0.5/0.3/1.5; 10.6/0.3/1073.8","TPS from last 1m; 5m; 15m: 20.0; 18.06; 18.98"
1785733824765,0,1.91,1.368GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.6/0.4/2.0; 0.6/0.3/2.0; 6.9/0.3/1073.8","TPS from last 1m; 5m; 15m: 20.0; 18.09; 18.98"
1785733831048,10,51.13,1.369GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 36.2/0.4/297.3; 18.4/0.4/297.3; 6.3/0.3/1073.8","TPS from last 1m; 5m; 15m: 19.02; 17.89; 18.92"
1785733841115,25,50.13,1.37GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 153.5/1.8/2122.5; 77.4/0.4/2122.5; 15.7/0.3/2122.5","TPS from last 1m; 5m; 15m: 16.79; 17.46; 18.75"
1785733860576,40,49.63,1.417GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 240.5/2.8/2122.5; 121.6/0.4/2122.5; 22.9/0.3/2122.5","TPS from last 1m; 5m; 15m: 13.44; 16.62; 18.41"
1785733868865,40,51.21,1.452GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 295.4/18.1/2617.1; 156.8/0.4/2617.1; 27.0/0.3/2617.1","TPS from last 1m; 5m; 15m: 12.66; 16.35; 18.29"
1785733876073,40,49.90,1.453GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 83.4/20.5/185.6; 187.5/11.0/2617.1; 32.4/0.3/2617.1","TPS from last 1m; 5m; 15m: 12.22; 16.21; 18.24"
1785733883273,40,50.75,1.452GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 84.5/20.8/181.4; 103.0/20.5/2617.1; 37.8/0.3/2617.1","TPS from last 1m; 5m; 15m: 11.83; 16.05; 18.18"
1785733890179,40,50.17,1.452GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 66.0/11.0/195.4; 75.3/11.0/195.4; 43.4/0.3/2617.1","TPS from last 1m; 5m; 15m: 11.59; 15.96; 18.15"
1785733897195,40,49.87,1.453GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 56.0/13.4/109.2; 57.7/11.0/195.4; 48.8/0.3/2617.1","TPS from last 1m; 5m; 15m: 11.5; 15.93; 18.13"
1785733903999,40,50.05,1.454GiB / 1.863GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 51.6/12.4/96.4; 55.5/12.4/177.8; 54.3/0.3/2617.1","TPS from last 1m; 5m; 15m: 11.41; 15.89; 18.11"
