1785733825966,bot0,spawn
1785733826130,bot1,spawn
1785733826558,bot2,spawn
1785733826977,bot0,rtt,11
1785733827143,bot1,rtt,13
1785733827144,bot3,spawn
1785733827570,bot2,rtt,11
1785733827660,bot4,spawn
1785733827985,bot0,rtt,6
1785733828173,bot1,rtt,43
1785733828183,bot3,rtt,39
1785733828184,bot5,spawn
1785733828579,bot2,rtt,20
1785733828868,bot4,rtt,208
1785733829066,bot6,spawn
1785733829143,bot0,rtt,164
1785733829374,bot1,rtt,231
1785733829381,bot3,rtt,236
1785733829387,bot5,rtt,174
1785733829754,bot4,rtt,90
1785733829774,bot2,rtt,196
1785733829998,bot7,spawn
1785733830226,bot6,rtt,150
1785733830234,bot1,rtt,77
1785733830243,bot3,rtt,86
1785733830274,bot0,rtt,269
1785733830581,bot5,rtt,316
1785733831182,bot7,rtt,183
1785733831210,bot2,rtt,609
1785733831231,bot1,rtt,47
1785733831231,bot3,rtt,46
1785733831317,bot4,rtt,608
1785733831415,bot5,rtt,137
1785733831420,bot0,rtt,415
1785733831431,bot6,rtt,312
1785733831924,bot2,rtt,322
1785733831960,bot4,rtt,250
1785733831974,bot8,spawn
1785733832155,bot9,spawn
1785733832765,bot1,rtt,518
1785733832780,bot3,rtt,534
1785733832801,bot5,rtt,523
1785733832822,bot7,rtt,662
1785733832842,bot0,rtt,682
1785733832862,bot2,rtt,244
1785733832884,bot4,rtt,175
1785733832905,bot6,rtt,745
1785733833322,bot6,rtt,145
1785733833332,bot8,rtt,358
1785733833348,bot0,rtt,171
1785733833893,bot7,rtt,716
1785733833922,bot9,rtt,745
1785733833937,bot1,rtt,592
1785733833968,bot3,rtt,623
1785733834007,bot5,rtt,662
1785733834007,bot2,rtt,344
1785733834547,bot4,rtt,612
1785733834644,bot8,rtt,612
1785733834665,bot1,rtt,321
1785733834748,bot3,rtt,403
1785733834823,bot5,rtt,478
1785733834884,bot7,rtt,706
1785733834949,bot9,rtt,771
1785733834998,bot0,rtt,820
1785733835080,bot6,rtt,902
1785733835511,bot7,rtt,333
1785733835583,bot9,rtt,405
1785733835671,bot0,rtt,493
1785733835673,bot2,rtt,716
1785733835735,bot4,rtt,778
1785733835788,bot6,rtt,610
1785733835849,bot8,rtt,690
1785733835875,bot1,rtt,364
1785733835876,bot3,rtt,365
1785733835938,bot5,rtt,426
1785733836036,bot11,spawn
1785733836396,bot6,rtt,141
1785733836499,bot8,rtt,244
1785733836517,bot0,rtt,262
1785733836518,bot2,rtt,461
1785733836519,bot4,rtt,462
1785733836519,bot7,rtt,264
1785733836520,bot9,rtt,265
1785733836842,bot5,rtt,322
1785733836842,bot1,rtt,322
1785733837009,bot3,rtt,489
1785733837220,bot10,spawn
1785733837235,bot4,rtt,178
1785733837236,bot2,rtt,179
1785733837423,bot11,rtt,387
1785733837559,bot0,rtt,173
1785733837560,bot6,rtt,174
1785733837603,bot8,rtt,218
1785733837604,bot12,spawn
1785733837762,bot7,rtt,376
1785733837801,bot9,rtt,415
