1785734579385,bot0,spawn
1785734579583,bot1,spawn
1785734579993,bot2,spawn
1785734580430,bot0,rtt,45
1785734580491,bot3,spawn
1785734580625,bot1,rtt,41
1785734581039,bot2,rtt,46
1785734581044,bot4,spawn
1785734581438,bot0,rtt,50
1785734581542,bot5,spawn
1785734581543,bot3,rtt,51
1785734581627,bot1,rtt,44
1785734581993,bot6,spawn
1785734582041,bot2,rtt,46
1785734582095,bot4,rtt,50
1785734582449,bot0,rtt,44
1785734582549,bot3,rtt,47
1785734582555,bot7,spawn
1785734582599,bot5,rtt,51
1785734582645,bot1,rtt,47
1785734583053,bot6,rtt,52
1785734583062,bot2,rtt,60
1785734583108,bot8,spawn
1785734583109,bot4,rtt,49
1785734583522,bot0,rtt,101
1785734583535,bot9,spawn
1785734583631,bot3,rtt,98
1785734583644,bot5,rtt,62
1785734583710,bot1,rtt,55
1785734583720,bot7,rtt,138
1785734584270,bot2,rtt,201
1785734584304,bot4,rtt,83
1785734584311,bot6,rtt,242
1785734584334,bot8,rtt,113
1785734584829,bot0,rtt,310
1785734585065,bot1,rtt,209
1785734585097,bot3,rtt,241
1785734585133,bot5,rtt,277
1785734585162,bot7,rtt,306
1785734585244,bot9,rtt,388
1785734585313,bot2,rtt,72
1785734585386,bot6,rtt,145
1785734585419,bot8,rtt,178
1785734585746,bot4,rtt,505
1785734586424,bot0,rtt,779
1785734586547,bot10,spawn
1785734586684,bot9,rtt,91
1785734586769,bot2,rtt,175
1785734586904,bot6,rtt,310
1785734587001,bot8,rtt,407
1785734587087,bot1,rtt,493
1785734587181,bot3,rtt,588
1785734587269,bot5,rtt,676
1785734587700,bot4,rtt,1106
1785734588123,bot7,rtt,1530
1785734588163,bot0,rtt,616
1785734588324,bot9,rtt,82
1785734588326,bot2,rtt,84
1785734588351,bot4,rtt,109
1785734588388,bot6,rtt,146
1785734588429,bot8,rtt,187
1785734588442,bot1,rtt,200
1785734588444,bot3,rtt,202
1785734588465,bot5,rtt,223
1785734588698,bot7,rtt,456
1785734588744,bot10,rtt,503
1785734588960,bot0,rtt,168
1785734588976,bot11,spawn
1785734589194,bot12,spawn
1785734589258,bot13,spawn
1785734589344,bot9,rtt,61
1785734589347,bot2,rtt,64
1785734589349,bot4,rtt,66
1785734589351,bot6,rtt,68
1785734589363,bot8,rtt,80
1785734589364,bot1,rtt,81
1785734589365,bot3,rtt,82
1785734589367,bot5,rtt,84
1785734589376,bot7,rtt,93
1785734589387,bot10,rtt,104
1785734589414,bot14,spawn
1785734589423,bot15,spawn
1785734589525,bot16,spawn
1785734589530,bot17,spawn
1785734589628,bot18,spawn
1785734589707,bot19,spawn
1785734589972,bot0,rtt,151
1785734590170,bot11,rtt,67
1785734590424,bot12,rtt,120
1785734590440,bot13,rtt,136
1785734590628,bot6,rtt,61
1785734590634,bot8,rtt,67
1785734590637,bot1,rtt,70
1785734590639,bot3,rtt,73
1785734590641,bot5,rtt,75
1785734590643,bot7,rtt,77
1785734590672,bot10,rtt,105
1785734590788,bot16,rtt,221
1785734590812,bot17,rtt,245
1785734590917,bot14,rtt,350
1785734591030,bot15,rtt,463
1785734591064,bot9,rtt,498
1785734591101,bot2,rtt,534
1785734591108,bot4,rtt,541
1785734591138,bot0,rtt,82
1785734591430,bot19,rtt,374
1785734591522,bot18,rtt,466
1785734591669,bot10,rtt,58
1785734591711,bot11,rtt,100
1785734591747,bot12,rtt,136
1785734591860,bot16,rtt,248
1785734591915,bot17,rtt,303
1785734592009,bot14,rtt,397
1785734592143,bot15,rtt,531
1785734592167,bot9,rtt,555
1785734592197,bot2,rtt,585
1785734592201,bot4,rtt,589
1785734592203,bot6,rtt,591
1785734592206,bot8,rtt,594
1785734592208,bot1,rtt,596
1785734592210,bot3,rtt,598
1785734592212,bot5,rtt,600
1785734592215,bot7,rtt,603
1785734592221,bot0,rtt,55
1785734592417,bot13,rtt,806
1785734592703,bot19,rtt,537
1785734592836,bot18,rtt,670
1785734593076,bot11,rtt,102
1785734593139,bot12,rtt,165
1785734593194,bot13,rtt,219
1785734593251,bot16,rtt,276
1785734593313,bot17,rtt,338
1785734593518,bot14,rtt,543
1785734593829,bot9,rtt,854
1785734593832,bot2,rtt,857
1785734593835,bot4,rtt,860
1785734593838,bot6,rtt,863
1785734593840,bot8,rtt,865
1785734593843,bot1,rtt,868
1785734593846,bot3,rtt,871
1785734593850,bot5,rtt,875
1785734593853,bot7,rtt,878
1785734593858,bot10,rtt,883
1785734594429,bot19,rtt,601
1785734594590,bot18,rtt,762
1785734594685,bot15,rtt,1710
1785734594761,bot0,rtt,933
1785734594842,bot11,rtt,109
1785734594916,bot12,rtt,183
1785734594982,bot13,rtt,249
1785734595042,bot16,rtt,309
1785734595112,bot17,rtt,379
1785734595244,bot14,rtt,511
1785734595513,bot15,rtt,780
1785734595725,bot9,rtt,992
1785734595730,bot2,rtt,997
1785734595735,bot4,rtt,1002
1785734595738,bot6,rtt,1005
1785734595743,bot8,rtt,1010
1785734595749,bot1,rtt,1016
1785734595754,bot3,rtt,1021
1785734595759,bot5,rtt,1026
1785734595763,bot7,rtt,1030
1785734595771,bot0,rtt,47
1785734595772,bot10,rtt,1039
1785734596395,bot19,rtt,672
1785734596618,bot18,rtt,895
1785734596809,bot6,rtt,47
1785734596813,bot8,rtt,51
1785734596818,bot1,rtt,56
1785734596821,bot3,rtt,59
1785734596825,bot5,rtt,63
1785734596828,bot7,rtt,66
1785734596831,bot0,rtt,69
1785734596834,bot10,rtt,72
1785734596838,bot11,rtt,77
1785734596858,bot12,rtt,96
1785734596880,bot13,rtt,118
1785734596915,bot16,rtt,152
1785734596937,bot17,rtt,175
1785734596960,bot19,rtt,198
1785734596963,bot14,rtt,201
1785734596965,bot18,rtt,203
1785734596966,bot15,rtt,204
1785734596989,bot9,rtt,227
1785734596991,bot2,rtt,229
1785734596992,bot4,rtt,230
1785734597807,bot11,rtt,44
1785734597840,bot3,rtt,54
1785734597841,bot5,rtt,55
1785734597841,bot7,rtt,55
1785734597842,bot15,rtt,55
1785734597843,bot9,rtt,57
1785734597844,bot14,rtt,58
1785734597845,bot0,rtt,58
1785734597845,bot17,rtt,58
1785734597845,bot13,rtt,59
1785734597846,bot19,rtt,59
1785734597847,bot16,rtt,60
1785734597847,bot2,rtt,61
1785734597848,bot4,rtt,62
1785734597848,bot6,rtt,62
1785734597850,bot8,rtt,64
1785734597851,bot10,rtt,65
1785734597853,bot12,rtt,67
1785734597855,bot18,rtt,68
1785734597856,bot1,rtt,70
1785734598828,bot11,rtt,61
1785734598850,bot2,rtt,42
1785734598851,bot18,rtt,43
1785734598852,bot1,rtt,44
1785734598852,bot0,rtt,44
1785734598853,bot4,rtt,45
1785734598853,bot14,rtt,45
1785734598854,bot6,rtt,46
1785734598855,bot15,rtt,47
1785734598855,bot16,rtt,47
1785734598856,bot17,rtt,48
1785734598856,bot8,rtt,48
1785734598856,bot10,rtt,48
1785734598857,bot12,rtt,50
1785734598858,bot3,rtt,50
1785734598860,bot5,rtt,52
1785734598861,bot7,rtt,53
1785734598862,bot9,rtt,54
1785734598863,bot13,rtt,55
1785734598884,bot19,rtt,76
1785734599854,bot0,rtt,45
1785734599856,bot14,rtt,47
1785734599857,bot1,rtt,48
1785734599859,bot15,rtt,50
1785734599861,bot2,rtt,52
1785734599863,bot16,rtt,54
1785734599864,bot17,rtt,55
1785734599865,bot3,rtt,58
