epoch_ms,players,cpu_percent,mem_usage,mspt_raw,tps_raw
1785734946463,0,2.75,2.177GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.3/0.2/0.7; 0.3/0.2/0.7; 4.9/0.2/610.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734952738,0,1.72,2.177GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.3/0.2/0.9; 0.3/0.2/0.9; 4.1/0.2/610.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734958994,0,1.99,2.176GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.4/0.2/0.8; 0.3/0.2/0.8; 3.4/0.2/610.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734965249,0,1.88,2.175GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.0; 0.4/0.2/1.0; 2.5/0.2/610.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734971544,10,64.58,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.5/0.8/14.5; 3.1/0.3/14.5; 2.0/0.2/610.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734977829,20,73.07,2.181GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.0/6.1/24.4; 8.0/2.3/24.4; 1.9/0.2/24.4","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734984121,22,68.56,2.227GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.7/5.8/21.7; 9.7/5.8/44.7; 2.7/0.2/44.7","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734990439,37,104.91,2.231GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 11.2/6.3/20.6; 10.5/5.8/25.5; 3.8/0.2/44.7","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734996755,40,44.23,2.236GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 10.2/7.4/22.5; 10.9/7.4/22.5; 4.9/0.2/44.7","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735003038,40,94.78,2.19GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.7/7.2/58.6; 9.8/7.2/58.6; 5.9/0.2/58.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735009299,40,66.67,2.232GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.3/6.8/14.3; 9.5/6.8/19.8; 6.8/0.2/58.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735015580,40,67.65,2.258GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.7/7.0/12.4; 9.0/6.8/16.4; 7.8/0.2/58.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735021871,40,60.58,2.26GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.2/5.9/12.8; 8.4/5.9/12.8; 8.6/0.3/58.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735028162,40,153.04,2.131GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 11.8/6.6/93.6; 10.4/5.9/93.6; 9.7/3.0/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735034458,40,63.36,2.111GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.5/6.2/12.0; 9.7/6.2/93.6; 9.8/5.8/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735040752,40,85.12,2.255GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 13.1/7.2/47.4; 11.0/6.6/47.4; 10.1/5.8/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735047079,40,71.73,2.243GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 10.5/6.2/26.4; 12.0/6.2/47.4; 10.2/5.9/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735053356,40,68.52,2.241GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.1/6.4/13.2; 9.3/6.2/20.7; 9.9/5.9/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735059643,40,63.04,2.242GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.4/6.4/23.2; 9.5/6.4/61.3; 9.9/5.9/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735065927,40,55.31,2.243GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.5/5.8/19.4; 9.0/5.8/21.0; 9.8/5.8/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735072218,40,62.75,2.256GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.2/6.5/15.6; 8.7/6.2/22.9; 9.7/5.8/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735078502,40,60.35,2.256GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.4/5.6/90.3; 9.3/5.6/90.3; 9.8/5.6/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735084777,40,80.29,2.258GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.6/5.5/58.8; 8.4/5.5/58.8; 9.7/5.5/93.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735091076,40,54.34,2.235GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 7.9/5.9/11.6; 8.2/5.8/58.8; 9.4/5.5/90.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735097372,40,70.87,2.212GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.3/6.0/17.5; 8.7/6.0/17.5; 9.4/5.5/90.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735103747,40,61.15,2.255GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.5/6.7/21.8; 9.4/6.0/21.8; 9.0/5.5/90.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785735110025,40,90.66,2.255GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.7/6.1/16.8; 9.0/6.1/19.3; 8.9/5.5/90.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
