epoch_ms,players,cpu_percent,mem_usage,mspt_raw,tps_raw
1785734189773,0,2.27,2.038GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.3/0.1/0.6; 0.3/0.1/0.7; 1.9/0.1/91.9","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734196033,0,1.82,2.038GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.3/0.1/0.7; 0.3/0.1/0.7; 1.6/0.1/91.9","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734202295,0,1.74,2.039GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.3/0.2/0.7; 0.3/0.1/0.7; 1.3/0.1/91.9","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734208560,0,1.76,2.039GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.3/0.2/0.7; 0.3/0.2/0.7; 1.0/0.1/91.9","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734214833,5,113.36,2.043GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.3/0.9/36.5; 3.5/0.2/36.5; 1.2/0.1/91.9","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734221117,5,48.33,2.046GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.2/3.6/15.6; 7.0/3.0/36.5; 1.7/0.1/91.9","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734227383,5,36.03,2.046GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.4/2.7/12.0; 4.9/2.7/15.6; 2.0/0.1/91.9","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734233669,5,37.27,2.046GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.0/2.7/8.3; 4.2/2.7/14.1; 2.3/0.1/36.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734239941,5,31.63,2.048GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.3/3.2/52.1; 4.7/2.7/52.1; 2.9/0.1/52.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734246217,5,25.72,2.048GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.3/2.4/16.1; 4.8/2.4/52.1; 3.3/0.1/52.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734252491,5,14.53,2.049GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 3.7/2.3/10.2; 3.9/2.3/16.1; 3.6/0.1/52.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734258765,5,14.29,2.048GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 3.7/2.5/12.4; 3.7/2.3/12.4; 4.0/0.2/52.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734265033,5,15.85,2.049GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 3.9/2.6/12.2; 3.8/2.5/12.4; 4.4/0.2/52.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734271294,5,16.06,2.05GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 3.8/2.4/11.6; 3.8/2.4/11.6; 4.6/2.3/52.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734277568,5,15.04,2.049GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 3.6/2.5/6.9; 3.7/2.4/11.6; 4.2/2.3/52.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734283849,5,15.79,2.05GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 3.9/2.7/8.0; 3.8/2.5/8.0; 4.1/2.3/52.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
