epoch_ms,players,cpu_percent,mem_usage,mspt_raw,tps_raw
1785734750135,0,2.44,2.188GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.4/0.2/1.0; 0.4/0.2/1.0; 3.4/0.2/393.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734756403,0,2.00,2.187GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/1.1; 0.4/0.2/1.1; 2.9/0.2/393.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734762676,0,26.35,2.188GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.2/0.8; 0.5/0.2/1.1; 2.3/0.2/393.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734768957,0,2.26,2.187GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.6/0.4/1.0; 0.5/0.3/1.0; 1.7/0.2/393.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734775242,10,66.98,2.191GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.2/1.0/94.1; 3.4/0.4/94.1; 1.7/0.2/393.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734781525,22,114.87,2.194GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 9.2/5.5/20.9; 8.6/2.4/94.1; 1.9/0.2/94.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734787825,24,96.50,2.198GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 11.4/7.1/53.4; 10.5/5.5/53.4; 3.0/0.2/94.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734794132,30,78.75,2.196GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.7/4.8/22.3; 9.5/4.8/53.4; 3.8/0.2/94.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734800467,30,101.83,2.196GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 10.4/7.5/30.3; 10.0/4.8/30.3; 4.9/0.2/94.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734806793,30,61.57,2.183GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 10.1/6.8/15.1; 10.4/6.8/30.3; 5.9/0.2/94.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734813094,30,43.22,2.2GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.1/6.0/13.9; 8.8/6.0/14.7; 6.7/0.2/94.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734819352,30,41.78,2.201GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 8.0/5.4/50.6; 7.9/5.2/50.6; 7.5/0.3/94.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734825618,30,38.60,2.211GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.4/4.8/9.0; 7.1/4.8/50.6; 8.1/0.4/94.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734831889,30,36.87,2.211GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.3/4.4/8.7; 6.5/4.4/9.0; 8.7/2.8/94.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734838163,30,52.12,2.213GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.3/4.6/8.5; 6.3/4.4/16.3; 8.5/4.4/53.4","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734844438,30,35.58,2.213GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.5/4.7/15.7; 6.4/4.6/15.7; 8.1/4.4/53.4","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734850710,30,47.95,2.213GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.8/4.8/13.3; 6.8/4.7/13.3; 7.8/4.4/50.6","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
