1785734415130,bot4,rtt,41
1785734415131,bot2,rtt,42
1785734415132,bot6,rtt,41
1785734415133,bot8,rtt,42
1785734415495,bot0,rtt,41
1785734415677,bot3,rtt,42
1785734415682,bot5,rtt,42
1785734415682,bot7,rtt,43
1785734415845,bot1,rtt,41
1785734415848,bot9,rtt,41
1785734416130,bot4,rtt,41
1785734416131,bot2,rtt,42
1785734416133,bot6,rtt,41
1785734416133,bot8,rtt,41
1785734416496,bot0,rtt,42
1785734416678,bot3,rtt,42
1785734416681,bot5,rtt,41
1785734416681,bot7,rtt,42
1785734416846,bot1,rtt,42
1785734416850,bot9,rtt,42
1785734417131,bot4,rtt,41
1785734417132,bot2,rtt,42
1785734417133,bot6,rtt,42
1785734417133,bot8,rtt,41
1785734417496,bot0,rtt,42
1785734417677,bot3,rtt,41
1785734417681,bot5,rtt,42
1785734417681,bot7,rtt,42
1785734417846,bot1,rtt,41
1785734417849,bot9,rtt,41
1785734418131,bot8,rtt,40
1785734418132,bot2,rtt,43
1785734418132,bot4,rtt,41
1785734418133,bot6,rtt,42
1785734418495,bot0,rtt,41
1785734418677,bot3,rtt,42
1785734418681,bot5,rtt,42
1785734418681,bot7,rtt,42
1785734418846,bot1,rtt,41
1785734418849,bot9,rtt,41
1785734419132,bot4,rtt,41
1785734419133,bot6,rtt,42
1785734419133,bot8,rtt,42
1785734419134,bot2,rtt,45
1785734419496,bot0,rtt,42
1785734419678,bot3,rtt,42
1785734419680,bot5,rtt,41
1785734419680,bot7,rtt,41
1785734419847,bot1,rtt,41
1785734419850,bot9,rtt,41
1785734420131,bot4,rtt,41
1785734420132,bot2,rtt,42
1785734420133,bot6,rtt,42
1785734420133,bot8,rtt,42
1785734420496,bot0,rtt,42
1785734420678,bot3,rtt,41
1785734420681,bot5,rtt,42
1785734420681,bot7,rtt,42
1785734420847,bot1,rtt,41
1785734420850,bot9,rtt,41
1785734421131,bot2,rtt,42
1785734421132,bot4,rtt,42
1785734421134,bot6,rtt,42
1785734421134,bot8,rtt,42
1785734421496,bot0,rtt,41
1785734421678,bot3,rtt,42
1785734421682,bot5,rtt,42
1785734421682,bot7,rtt,43
1785734421847,bot1,rtt,41
1785734421851,bot9,rtt,41
1785734422131,bot2,rtt,42
1785734422132,bot4,rtt,41
1785734422134,bot6,rtt,41
1785734422134,bot8,rtt,41
1785734422496,bot0,rtt,41
1785734422679,bot3,rtt,42
1785734422680,bot5,rtt,41
1785734422681,bot7,rtt,42
1785734422848,bot1,rtt,41
1785734422852,bot9,rtt,42
1785734423131,bot2,rtt,42
1785734423132,bot4,rtt,41
1785734423135,bot6,rtt,42
1785734423135,bot8,rtt,42
1785734423496,bot0,rtt,41
1785734423678,bot3,rtt,41
1785734423681,bot5,rtt,42
1785734423681,bot7,rtt,42
1785734423848,bot1,rtt,42
1785734423853,bot9,rtt,42
1785734424132,bot4,rtt,42
1785734424132,bot2,rtt,42
1785734424136,bot6,rtt,42
1785734424136,bot8,rtt,42
1785734424496,bot0,rtt,42
1785734424678,bot3,rtt,41
1785734424681,bot5,rtt,41
1785734424681,bot7,rtt,42
1785734424847,bot1,rtt,41
1785734424868,bot9,rtt,52
1785734425132,bot4,rtt,41
1785734425133,bot2,rtt,42
1785734425135,bot6,rtt,41
1785734425136,bot8,rtt,42
1785734425264,bot0,respawn
1785734425497,bot0,rtt,43
1785734425677,bot3,rtt,41
1785734425681,bot5,rtt,41
1785734425681,bot7,rtt,41
1785734425848,bot1,rtt,42
1785734425858,bot9,rtt,42
1785734426132,bot4,rtt,41
1785734426133,bot2,rtt,42
1785734426135,bot6,rtt,41
1785734426136,bot8,rtt,42
1785734426496,bot0,rtt,42
1785734426678,bot3,rtt,42
1785734426681,bot5,rtt,41
1785734426681,bot7,rtt,42
1785734426849,bot1,rtt,43
1785734426862,bot9,rtt,43
1785734427132,bot4,rtt,41
