epoch_ms,players,cpu_percent,mem_usage,mspt_raw,tps_raw
1785734372909,0,2.21,2.164GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.4/0.2/0.9; 0.4/0.2/0.9; 2.3/0.2/113.4","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734379170,0,1.66,2.165GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.3/0.2/0.8; 0.4/0.2/0.8; 1.9/0.2/113.4","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734385420,0,1.79,2.165GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.2/12.8; 0.4/0.2/12.8; 1.6/0.2/113.4","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734391681,0,3.78,2.164GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 0.5/0.3/0.7; 0.5/0.2/12.8; 1.2/0.2/113.4","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734397947,10,81.26,2.176GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.7/1.3/15.1; 3.1/0.3/15.1; 1.3/0.2/113.4","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734404224,10,38.70,2.178GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.5/3.8/17.3; 6.8/2.6/17.3; 1.6/0.2/17.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734410497,10,27.53,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.9/3.2/14.4; 5.4/2.9/17.3; 2.0/0.2/17.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734416775,10,18.48,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.7/2.8/14.5; 4.9/2.8/14.5; 2.5/0.2/17.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734423036,10,26.99,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.5/3.1/8.1; 4.6/2.8/14.5; 2.9/0.2/17.3","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734429320,10,37.49,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 6.1/3.2/20.8; 5.4/3.1/20.8; 3.5/0.2/20.8","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734435646,10,17.46,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.6/2.9/51.5; 6.1/2.9/51.5; 4.1/0.2/51.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734441942,10,18.38,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.1/2.8/13.9; 4.4/2.8/13.9; 4.5/0.2/51.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734448208,10,36.81,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.6/3.5/8.8; 5.1/2.8/13.9; 5.0/0.3/51.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734454527,10,22.93,2.18GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.5/2.7/14.9; 4.9/2.7/14.9; 5.3/2.7/51.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734460822,10,31.96,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.4/2.6/22.5; 4.8/2.6/22.5; 5.1/2.6/51.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734467148,10,30.05,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.1/3.3/9.9; 5.5/3.3/22.5; 5.1/2.6/51.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734473456,10,37.57,2.178GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.3/3.2/22.6; 5.2/3.2/22.6; 5.1/2.6/51.5","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734479835,10,21.38,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.7/3.2/11.6; 5.5/3.2/97.1; 5.2/2.6/97.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734486129,10,26.23,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.4/3.2/9.0; 5.0/3.0/11.6; 5.2/2.6/97.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734492427,10,22.71,2.178GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.7/3.2/15.2; 5.0/3.2/15.2; 5.0/2.6/97.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734498701,10,22.60,2.178GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.7/3.3/7.3; 4.8/3.3/15.2; 5.0/2.6/97.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734504967,10,29.24,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.4/2.6/9.6; 4.5/2.6/10.0; 5.0/2.6/97.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734511246,10,19.40,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 5.2/3.0/26.9; 5.0/3.0/26.9; 5.0/2.6/97.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734517521,10,20.26,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.8/3.6/7.7; 5.1/3.0/26.9; 5.1/2.6/97.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
1785734523801,10,21.36,2.179GiB / 3.725GiB,"Server tick times (avg/min/max) from last 5s; 10s; 1m:◴ 4.7/3.1/11.8; 4.8/3.1/11.8; 5.0/2.6/97.1","TPS from last 1m; 5m; 15m: 20.0; 20.0; 20.0"
