1785733644034,bot8,rtt,359
1785733644036,bot14,rtt,361
1785733644037,bot16,rtt,363
1785733644044,bot1,rtt,368
1785733644044,bot3,rtt,369
1785733644045,bot5,rtt,370
1785733644047,bot9,rtt,372
1785733644048,bot19,rtt,998
1785733644052,bot0,rtt,377
1785733644672,bot11,rtt,642
1785733644753,bot7,rtt,723
1785733644831,bot15,rtt,80
1785733644909,bot17,rtt,158
1785733644951,bot21,spawn
1785733644953,bot1,rtt,202
1785733644986,bot0,rtt,235
1785733644988,bot2,rtt,237
1785733644990,bot4,rtt,239
1785733644992,bot6,rtt,241
1785733644994,bot8,rtt,243
1785733644996,bot10,rtt,966
1785733645078,bot12,rtt,1048
1785733645231,bot14,rtt,480
1785733645307,bot16,rtt,556
1785733645363,bot20,rtt,1121
1785733645391,bot3,rtt,640
1785733645394,bot5,rtt,643
1785733645397,bot9,rtt,646
1785733645414,bot19,rtt,1355
1785733645436,bot18,rtt,1406
1785733645438,bot13,rtt,687
1785733646463,bot7,rtt,1073
1785733646464,bot11,rtt,1074
1785733646769,bot19,rtt,1379
1785733646770,bot23,spawn
1785733647037,bot10,rtt,1647
1785733647038,bot12,rtt,1648
1785733647120,bot18,rtt,1730
1785733647153,bot22,spawn
1785733647159,bot1,rtt,1407
1785733647162,bot1,rtt,369
1785733647163,bot3,rtt,1411
1785733647164,bot3,rtt,371
1785733647165,bot5,rtt,1413
1785733647165,bot5,rtt,372
1785733647167,bot7,rtt,777
1785733647168,bot9,rtt,1416
1785733647169,bot9,rtt,376
1785733647170,bot11,rtt,780
1785733647188,bot13,rtt,1436
1785733647189,bot13,rtt,396
1785733647275,bot15,rtt,1523
1785733647276,bot15,rtt,483
1785733647356,bot17,rtt,1604
1785733647357,bot17,rtt,564
1785733647445,bot19,rtt,1055
1785733647449,bot21,rtt,1498
1785733647450,bot21,rtt,415
1785733647507,bot20,rtt,2117
1785733648113,bot20,rtt,1723
1785733648149,bot0,rtt,2397
1785733648150,bot0,rtt,1357
1785733648152,bot2,rtt,2400
1785733648152,bot2,rtt,1359
1785733648154,bot4,rtt,2402
1785733648154,bot4,rtt,1361
1785733648155,bot10,rtt,1765
1785733648157,bot12,rtt,1767
1785733648159,bot14,rtt,2407
1785733648159,bot14,rtt,1366
1785733648160,bot16,rtt,2408
1785733648161,bot16,rtt,1368
1785733648175,bot18,rtt,1785
1785733648178,bot6,rtt,2426
1785733648179,bot6,rtt,1386
1785733648180,bot8,rtt,2428
1785733648180,bot8,rtt,1387
1785733648182,bot1,rtt,34
1785733648183,bot3,rtt,35
1785733648184,bot5,rtt,36
1785733648185,bot7,rtt,709
1785733648186,bot9,rtt,38
1785733648187,bot11,rtt,712
1785733648188,bot13,rtt,40
1785733648283,bot15,rtt,135
1785733648376,bot17,rtt,228
1785733648465,bot19,rtt,989
1785733648500,bot25,spawn
1785733648502,bot23,rtt,355
1785733648531,bot7,rtt,28
1785733648532,bot11,rtt,30
1785733648533,bot19,rtt,30
1785733648584,bot21,rtt,436
1785733648832,bot10,rtt,1357
1785733648833,bot12,rtt,1358
1785733648854,bot14,rtt,706
1785733648950,bot16,rtt,802
1785733649061,bot18,rtt,1586
1785733649062,bot18,rtt,560
1785733649160,bot20,rtt,1684
1785733649160,bot20,rtt,657
1785733649164,bot22,rtt,662
1785733649165,bot0,rtt,1017
1785733649187,bot2,rtt,1039
1785733649188,bot4,rtt,1040
1785733649189,bot6,rtt,1041
1785733649191,bot8,rtt,1043
1785733649193,bot10,rtt,691
1785733649194,bot12,rtt,692
1785733649914,bot16,rtt,728
1785733650003,bot18,rtt,500
1785733650088,bot20,rtt,585
1785733650127,bot24,spawn
1785733650130,bot0,rtt,944
1785733650152,bot2,rtt,966
1785733650153,bot4,rtt,967
1785733650154,bot6,rtt,968
1785733650155,bot8,rtt,969
1785733650156,bot10,rtt,653
1785733650157,bot14,rtt,971
1785733650184,bot22,rtt,681
1785733650188,bot12,rtt,685
1785733650193,bot1,rtt,1007
1785733650196,bot3,rtt,1010
1785733650199,bot5,rtt,1013
1785733650203,bot7,rtt,700
1785733650205,bot9,rtt,1019
1785733650207,bot11,rtt,704
1785733650209,bot13,rtt,1023
1785733650262,bot15,rtt,1076
1785733650346,bot17,rtt,1160
1785733650426,bot19,rtt,923
1785733650482,bot21,rtt,1295
1785733650569,bot25,rtt,1069
1785733650622,bot23,rtt,1436
1785733650927,bot15,rtt,331
1785733651014,bot17,rtt,418
1785733651098,bot19,rtt,501
1785733651187,bot21,rtt,590
1785733651247,bot23,rtt,651
1785733651248,bot1,rtt,651
1785733651250,bot25,rtt,653
1785733651277,bot3,rtt,681
1785733651278,bot5,rtt,682
1785733651279,bot7,rtt,682
1785733651280,bot9,rtt,684
1785733651281,bot11,rtt,684
1785733651284,bot13,rtt,688
1785733651289,bot0,rtt,693
1785733651291,bot2,rtt,695
1785733651293,bot4,rtt,697
