bots,players_held,mspt5s_median,mspt5s_max,cpu_percent_median,over_budget
8,8,6.9,9.9,28.165,no
16,16,7.9,9.0,32.84,no
24,24,8.7,9.6,34.42,no
32,32,9.1,9.6,40.005,no
40,40,9.5,10.3,43.15,no
50,50,10.15,11.6,48.25,no
60,60,11.35,14.9,58.52,no
75,75,17.65,40.8,77.805,no
90,90,31.9,78.4,96.29,no
100,100,44.65,103.5,100.2,no
