bots,players_held,mspt5s_median,mspt5s_max,cpu_percent_median,over_budget
8,8,6.9,8.6,26.055,no
16,16,8.9,36.9,33.865,no
24,24,9.75,22.9,38.53,no
32,32,11.75,35.1,43.51,no
40,40,16.5,55.4,46.995,no
50,50,44.5,143.5,50.145,no
60,60,69.05,107.8,50.14,yes
