bots,players_held,mspt5s_median,mspt5s_max,cpu_percent_median,over_budget
8,8,5.6,6.7,24.015,no
16,16,5.75,6.1,30.315,no
24,24,5.8,6.5,34.22,no
32,32,5.5,6.0,35.645,no
40,40,5.25,5.6,37.125,no
50,50,5.1,6.3,42.525,no
60,60,6.2,16.9,51.045,no
75,75,8.9,10.0,64.825,no
90,90,7.9,8.9,62.85,no
100,100,9.25,11.1,74.645,no
